Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Utah Jazz,2020/21,0.722,80.4,78.0,158.4,18.0,3.0,9.0,542.0,543.0,1085.0,21.0,19.0,23.0
Phoenix Suns,2020/21,0.708,89.1,71.5,160.6,6.0,11.0,7.0,557.0,557.0,1114.0,16.0,16.0,19.0
Philadelphia 76ers,2020/21,0.6809999999999999,93.6,69.8,163.39999999999998,4.0,14.0,3.0,538.0,537.0,1075.0,23.0,21.0,25.0
Brooklyn Nets,2020/21,0.667,77.9,84.5,162.4,21.0,1.0,4.0,577.0,567.0,1144.0,4.0,8.0,6.0
Los Angeles Clippers,2020/21,0.653,92.7,74.9,167.60000000000002,5.0,8.0,1.0,553.0,561.0,1114.0,19.0,14.0,19.0
Denver Nuggets,2020/21,0.653,93.6,68.5,162.10000000000002,3.0,17.0,5.0,561.0,563.0,1124.0,13.0,12.0,16.0
Milwaukee Bucks,2020/21,0.639,95.8,64.5,160.3,1.0,22.0,8.0,554.0,566.0,1120.0,18.0,9.0,18.0
Los Angeles Lakers,2020/21,0.583,84.1,62.60000000000001,146.7,13.0,26.0,22.0,539.0,535.0,1074.0,22.0,22.0,26.0
Dallas Mavericks,2020/21,0.583,82.0,75.6,157.6,15.0,6.0,10.0,571.0,558.0,1129.0,7.0,15.0,12.0
Portland Trail Blazers,2020/21,0.583,94.6,71.3,165.89999999999998,2.0,12.0,2.0,578.0,581.0,1159.0,3.0,2.0,2.0
New York Knicks,2020/21,0.569,70.7,83.1,153.8,27.0,2.0,13.0,539.0,539.0,1078.0,22.0,20.0,24.0
Atlanta Hawks,2020/21,0.569,86.8,68.4,155.2,11.0,18.0,12.0,564.0,572.0,1136.0,11.0,5.0,9.0
Miami Heat,2020/21,0.556,87.7,60.4,148.1,9.0,28.0,19.0,556.0,553.0,1109.0,17.0,18.0,21.0
Golden State Warriors,2020/21,0.542,78.5,64.5,143.0,19.0,22.0,23.0,546.0,554.0,1100.0,20.0,17.0,22.0
Memphis Grizzlies,2020/21,0.528,82.6,75.0,157.6,14.0,7.0,10.0,559.0,553.0,1112.0,14.0,18.0,20.0
Boston Celtics,2020/21,0.5,86.9,68.9,155.8,10.0,16.0,11.0,564.0,561.0,1125.0,11.0,14.0,15.0
