Player,Salary,Salary adjusted by inflation,Season
Stephen Curry,43006362,43006362,2020/21
Chris Paul,41358814,41358814,2020/21
Russell Westbrook,41358814,41358814,2020/21
James Harden,41254920,41254920,2020/21
John Wall,41254920,41254920,2020/21
Kevin Durant,40108950,40108950,2020/21
LeBron James,39219566,39219566,2020/21
Paul George,35450412,35450412,2020/21
Klay Thompson,35361360,35361360,2020/21
Mike Conley,34502132,34502132,2020/21
Kemba Walker,34379100,34379100,2020/21
Kawhi Leonard,34379100,34379100,2020/21
Jimmy Butler,34379100,34379100,2020/21
Tobias Harris,34358850,34358850,2020/21
Blake Griffin,33900241,33900241,2020/21
Kyrie Irving,33722850,33722850,2020/21
Khris Middleton,33051724,33051724,2020/21
Anthony Davis,32742000,32742000,2020/21
Damian Lillard,31626953,31626953,2020/21
Kevin Love,31258256,31258256,2020/21
Ben Simmons,30559200,30559200,2020/21
Pascal Siakam,30559200,30559200,2020/21
Kyle Lowry,30500000,30500000,2020/21
Steven Adams,29592695,29592695,2020/21
Nikola Jokic,29542010,29542010,2020/21
Andrew Wiggins,29542010,29542010,2020/21
Joel Embiid,29542010,29542010,2020/21
Kristaps Porzingis,29467800,29467800,2020/21
Karl-Anthony Towns,29467800,29467800,2020/21
Devin Booker,29467800,29467800,2020/21
CJ McCollum,29354152,29354152,2020/21
Andre Drummond,28751774,28751774,2020/21
Bradley Beal,28751774,28751774,2020/21
D'Angelo Russell,28649250,28649250,2020/21
Gordon Hayward,28500000,28500000,2020/21
Otto Porter,28489239,28489239,2020/21
DeMar DeRozan,27739975,27739975,2020/21
Giannis Antetokounmpo,27528088,27528088,2020/21
Rudy Gobert,27525281,27525281,2020/21
Al Horford,27500000,27500000,2020/21
Jamal Murray,27285000,27285000,2020/21
Brandon Ingram,27285000,27285000,2020/21
Jrue Holiday,27026011,27026011,2020/21
Nikola Vucevic,26000000,26000000,2020/21
Jaylen Brown,25035118,25035118,2020/21
Buddy Hield,24931817,24931817,2020/21
Draymond Green,22246956,22246956,2020/21
Harrison Barnes,22215909,22215909,2020/21
Fred VanVleet,21250000,21250000,2020/21
Victor Oladipo,21000000,21000000,2020/21
Malcolm Brogdon,20700000,20700000,2020/21
Julius Randle,19845000,19845000,2020/21
Domantas Sabonis,19800000,19800000,2020/21
Gary Harris,19610714,19610714,2020/21
Danilo Gallinari,19500000,19500000,2020/21
Zach LaVine,19500000,19500000,2020/21
Jerami Grant,19050000,19050000,2020/21
Tim Hardaway Jr,18975000,18975000,2020/21
Terry Rozier,18900000,18900000,2020/21
Aaron Gordon,18136364,18136364,2020/21
Clint Capela,18000000,18000000,2020/21
Bogdan Bogdanovic,18000000,18000000,2020/21
Myles Turner,18000000,18000000,2020/21
Goran Dragic,18000000,18000000,2020/21
Bojan Bogdanovic,17850000,17850000,2020/21
LaMarcus Aldridge,17628340,17628340,2020/21
Gorgui Dieng,17587688,17587688,2020/21
Evan Fournier,17150000,17150000,2020/21
Ricky Rubio,17000000,17000000,2020/21
Eric Bledsoe,16875000,16875000,2020/21
Eric Gordon,16869267,16869267,2020/21
Caris LeVert,16203704,16203704,2020/21
Joe Harris,16071429,16071429,2020/21
James Johnson,16047100,16047100,2020/21
Dennis Schroeder,15500000,15500000,2020/21
Cody Zeller,15415730,15415730,2020/21
Danny Green,15365853,15365853,2020/21
Jonas Valanciunas,15000000,15000000,2020/21
Andre Iguodala,15000000,15000000,2020/21
Davis Bertans,15000000,15000000,2020/21
Marcus Morris,14883721,14883721,2020/21
Rudy Gay,14500000,14500000,2020/21
Kelly Oubre,14375000,14375000,2020/21
Dejounte Murray,14286000,14286000,2020/21
Will Barton,13723214,13723214,2020/21
Thaddeus Young,13545000,13545000,2020/21
Patrick Mills,13535714,13535714,2020/21
Terrence Ross,13500000,13500000,2020/21
Malik Beasley,13425895,13425895,2020/21
